Topic,Title,ID,Noushin,Chenlu,Khiem,Label
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391616,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391617,1.0,1.0,1,1
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391618,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391619,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391620,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391621,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391622,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391623,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391624,1.0,1.0,1,1
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391625,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391626,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391627,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391628,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391629,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391630,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391631,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391632,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391633,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391634,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391635,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391636,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391637,1.0,1.0,1,1
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391638,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391639,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391640,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391641,0.0,,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391642,0.0,0.0,0,0
Ukraine War,"Russian Ministry of Defense called #Ukraine's use of unmanned aerial and unmanned sea vehicles to attack Black Sea Fleet ships in Sevastopol a ""terrorist attack.""

Cut the whining, MOD. Striking Russian warships when #Russia is at war with Ukraine is perfectly legitimate.",https://twitter.com/steven_pifer/status/1586546414481391643,0.0,0.0,0,0
